"id","country_id:id","name","code"
state_id_1,base.id,"Aceh","AC"
state_id_2,base.id,"Sumatera Utara","SU"
state_id_3,base.id,"Sumatera Barat","SB"
state_id_4,base.id,"Riau","RI"
state_id_5,base.id,"Jambi","JA"
state_id_6,base.id,"Sumatera Selatan","SS"
state_id_7,base.id,"Bengkulu","BE"
state_id_8,base.id,"Lampung","LA"
state_id_9,base.id,"Kepulauan Bangka Belitung","BB"
state_id_10,base.id,"Kepulauan Riau","KR"
state_id_11,base.id,"Daerah Khusus Ibukota Jakarta","JK"
state_id_12,base.id,"Jawa Barat","JB"
state_id_13,base.id,"Jawa Tengah","JT"
state_id_14,base.id,"Daerah Istimewa Yogyakarta","YO"
state_id_15,base.id,"Jawa Timur","JI"
state_id_16,base.id,"Banten","BT"
state_id_17,base.id,"Bali","BA"
state_id_18,base.id,"Nusa Tenggara Barat","NB"
state_id_19,base.id,"Nusa Tenggara Timur","NT"
state_id_20,base.id,"Kalimantan Barat","KB"
state_id_21,base.id,"Kalimantan Tengah","KT"
state_id_22,base.id,"Kalimantan Selatan","KS"
state_id_23,base.id,"Kalimantan Timur","KI"
state_id_24,base.id,"Sulawesi Utara","SA"
state_id_25,base.id,"Sulawesi Tengah","ST"
state_id_26,base.id,"Sulawesi Selatan","SN"
state_id_27,base.id,"Sulawesi Tenggara","SG"
state_id_28,base.id,"Gorontalo","GO"
state_id_29,base.id,"Sulawesi Barat","SR"
state_id_30,base.id,"Maluku","MA"
state_id_31,base.id,"Maluku Utara","MU"
state_id_32,base.id,"Papua Barat","PB"
state_id_33,base.id,"Papua","PA"
state_id_34,base.id,"Kalimantan Utara","KU"
